frame_idx,state,path_id,path_index,path_s,match_distance_px,angle_error_deg,signed_angle_error_deg
374,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
375,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
376,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
377,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
378,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
379,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
380,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
381,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
382,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
383,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
384,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
385,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
386,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
387,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
388,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
389,tracking,0,833,778.0099,6.917706951,6.41123713,6.41123713
390,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
391,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
392,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
393,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
394,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
395,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
396,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
397,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
398,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
399,tracking,0,830,775.6499,5.609123739,2.123924204,2.123924204
400,tracking,0,859,798.439,6.131068033,0.107652231,0.107652231
401,tracking,0,859,798.439,6.131068033,0.510882451,0.510882451
402,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
403,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
404,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
405,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
406,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
407,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
408,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
409,tracking,0,859,798.439,6.131068033,0.002787753,0.002787753
410,tracking,0,917,844.0282,8.173950685,10.2157158,10.2157158
411,tracking,0,917,844.0282,8.173950685,10.2157158,10.2157158
412,tracking,0,917,844.0282,8.173950685,10.2157158,10.2157158
413,tracking,0,917,844.0282,8.173950685,10.2157158,10.2157158
414,tracking,0,917,844.0282,8.173950685,10.2157158,10.2157158
